customer id,state,custome lifetime value,response,coverage,education,employment,gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,diff_days,new_feature,feature2
14,1,5384.431665,0,0,1,1,1,83689,2,2,70,21,10,2,8,0,2,3,2,307.139132,0,1,3149.7538793333,0.00083643,232.858
15,3,7463.139377,0,0,0,1,0,24599,0,1,64,12,50,1,2,0,1,1,1,42.920271,0,1,3150.7538793333,0.00260173,1962.54
16,2,2566.867823,0,0,3,2,1,25049,1,1,67,14,7,0,1,1,5,1,2,454.245098,5,1,3130.7538793333,0.00267476,952.755
17,1,3945.241604,0,0,1,2,1,28855,1,1,101,12,59,0,1,1,4,2,2,647.442031,3,1,3162.7538793333,0.00350026,6523.56
18,3,5710.333115,0,0,1,1,1,51148,2,1,72,9,1,0,7,1,4,1,1,308.981664,0,1,3109.7538793333,0.00140768,58.7169
19,1,8162.617053,0,2,3,1,0,66140,1,1,101,11,21,0,3,0,1,0,2,484.8,0,2,3153.7538793333,0.00152706,915.733
20,3,2872.051273,0,0,3,1,1,57749,1,2,74,31,21,0,1,1,4,0,1,355.2,5,1,3117.7538793333,0.00128141,3492.8
21,4,3041.791561,0,1,0,0,0,13789,1,0,79,8,49,0,1,1,5,3,2,379.2,0,1,3146.7538793333,0.0057292,4123.8
22,0,24127.50402,1,0,0,2,1,14072,1,0,71,13,3,0,2,1,5,0,0,511.2,0,1,3141.7538793333,0.00504548,312.4
23,2,2450.190996,0,0,0,4,0,0,1,2,73,4,44,3,1,0,2,0,1,554.376763,0,1,3112.7538793333,7.30E+09,2.95E+03
24,1,2392.10789,0,0,0,0,0,17870,1,1,61,30,91,0,1,0,1,1,1,439.2,0,1,3131.7538793333,0.00341354,6941.8
25,3,5802.065978,0,0,1,1,1,97541,1,1,72,22,1,0,3,1,5,1,2,389.185006,0,0,3138.7538793333,0.000738151,422.272
26,1,3946.372085,0,2,0,4,0,0,1,2,111,15,47,0,1,1,5,0,0,799.2,0,2,3108.7538793333,1.11E+10,6.08E+03
27,4,5346.916576,0,1,4,0,0,10511,2,1,139,33,64,0,1,0,0,0,1,516.237951,3,1,3124.7538793333,0.0132242,12966.8
28,0,12902.56014,0,2,1,1,0,86584,1,2,111,33,54,2,2,1,5,0,2,532.8,0,0,3134.7538793333,0.00128199,4562.1
29,3,3235.360468,0,1,4,1,0,75690,1,1,80,17,44,1,1,1,5,1,1,384,0,2,3129.7538793333,0.00105694,4496
30,0,2454.58354,0,0,1,1,1,23158,1,1,63,4,6,1,1,1,4,3,2,322.294043,0,2,3108.7538793333,0.00272044,307.706
31,2,18975.45611,0,1,3,1,1,65999,2,1,237,1,14,0,6,0,1,1,0,615.927769,2,1,3145.7538793333,0.00359096,489.845
32,1,4715.321344,0,0,0,4,1,0,2,1,65,19,56,0,3,1,5,0,2,308.15089,0,1,3142.7538793333,6.50E+09,1.52E+03
33,4,5018.885233,0,0,0,1,1,54500,1,1,63,28,17,0,6,0,1,0,0,302.4,5,2,3149.7538793333,0.00115596,422.1
34,3,4932.916345,0,0,0,1,0,37260,0,1,62,19,42,0,8,0,0,2,3,15.437681,0,1,3123.7538793333,0.00166398,470.82
35,0,5744.229745,0,0,3,1,0,68987,2,1,71,11,40,0,6,1,3,0,1,204.475147,0,1,3152.7538793333,0.00102918,569.421
36,1,13891.73567,0,2,0,1,1,42305,1,1,117,10,62,0,2,1,5,0,0,561.6,0,2,3159.7538793333,0.00276563,3931.2
37,3,7380.976717,0,1,4,1,0,65706,1,1,91,19,86,0,8,1,5,1,3,436.8,0,2,3130.7538793333,0.00138496,1139.78
38,3,3090.034104,0,1,0,4,1,0,1,2,90,7,79,0,1,1,4,2,0,648,5,2,3142.7538793333,9.00E+09,7.09E+03
39,0,2521.633095,0,0,3,1,1,53243,0,0,66,4,15,2,1,1,5,0,2,157.397849,0,1,3129.7538793333,0.0012396,1096.6
40,2,2652.061785,0,0,3,4,0,0,1,1,70,7,1,1,1,0,2,2,2,484.318536,5,1,3149.7538793333,7.00E+09,7.57E+01
41,3,2771.045031,1,0,1,1,0,50071,0,2,71,3,32,0,1,0,2,1,0,18.918935,5,1,3156.7538793333,0.00141799,2466.08
42,1,3939.00637,1,1,0,1,0,60021,1,1,99,12,28,0,1,1,4,1,0,882.871945,0,2,3139.7538793333,0.00164942,3077.13
43,0,12231.87968,0,0,3,1,1,43244,1,1,103,15,16,0,2,1,4,3,0,494.4,4,1,3128.7538793333,0.00238183,1349.3
44,4,2443.665166,0,0,1,1,1,92834,1,1,61,15,56,0,1,2,7,1,2,292.8,0,0,3113.7538793333,0.000657087,4038.2
45,3,12819.10289,0,2,2,0,0,10105,0,1,172,5,4,3,3,1,4,0,1,0.517753,3,1,3142.7538793333,0.0170213,515.827
46,0,4468.510542,0,0,0,4,1,0,1,2,73,7,57,3,5,1,5,2,2,579.165954,0,1,3136.7538793333,7.30E+09,8.19E+02
47,3,5514.344018,0,0,3,1,0,23218,1,2,71,7,10,0,4,1,4,3,0,447.79344,5,1,3165.7538793333,0.00305797,189.802
48,1,3343.875326,0,1,0,4,0,0,1,1,92,11,77,0,1,0,1,1,2,529.624084,0,1,3129.7538793333,9.20E+09,7.57E+03
49,0,2294.478927,0,0,3,4,0,0,1,1,62,11,56,0,1,1,4,3,1,313.023175,0,1,3149.7538793333,6.20E+09,3.84E+03
50,3,36707.42639,0,0,1,1,1,24804,1,1,104,1,28,0,2,1,4,0,0,593.830288,3,2,3150.7538793333,0.00419287,1211.08
51,1,33473.34946,1,0,0,1,0,33190,1,0,106,18,95,0,2,0,0,0,3,508.8,3,1,3156.7538793333,0.00319373,5734.6
52,2,7983.431709,0,0,3,1,0,36014,0,1,69,4,40,3,2,2,6,3,1,173.956072,0,1,3115.7538793333,0.00191592,1431.02
53,4,4854.745666,0,0,0,1,1,29834,1,2,64,19,44,0,3,1,5,3,0,307.2,0,1,3120.7538793333,0.0021452,1241.6
54,1,4293.997319,0,2,0,0,1,16701,1,1,113,20,26,0,1,1,4,0,1,831.625979,0,2,3150.7538793333,0.00676606,4366.37
55,0,7164.395543,0,1,1,1,0,46623,1,0,91,1,53,0,3,0,2,2,2,436.8,0,2,3131.7538793333,0.00195183,1492.4
56,1,7619.5158,0,0,1,1,1,64749,2,1,64,24,59,0,2,2,7,1,1,302.56519,0,1,3123.7538793333,0.000988432,2504.72
57,0,3958.002823,0,0,3,4,0,0,1,1,101,29,12,0,1,1,4,0,2,484.8,3,2,3113.7538793333,1.01E+10,3.66E+03
58,3,4499.493252,0,1,3,0,0,16969,1,0,124,34,47,2,1,1,5,0,2,704.768111,3,1,3139.7538793333,0.00730744,9339.23
59,3,4059.567414,0,2,4,0,0,11621,1,0,108,4,98,0,1,1,3,0,0,518.4,0,1,3108.7538793333,0.00929352,10497.6
60,0,4458.113369,1,0,0,3,1,17622,1,0,65,1,36,1,3,1,3,0,0,312,0,1,3165.7538793333,0.00368857,697.667
61,1,8110.333139,0,2,0,2,0,11489,1,1,105,4,50,0,6,1,5,0,2,504,5,2,3145.7538793333,0.00913918,861
62,3,3339.764873,0,1,0,4,1,0,1,2,94,20,53,0,1,1,5,0,0,863.327324,5,2,3152.7538793333,9.40E+09,6.00E+03
63,1,24261.01777,0,0,3,1,0,66525,0,1,100,0,86,0,2,1,5,0,0,104.331355,3,1,3140.7538793333,0.00150319,4247.83
64,0,6613.973653,0,0,0,4,0,0,1,2,63,21,28,0,2,1,5,2,1,676.391482,0,0,3144.7538793333,6.30E+09,1.21E+03
65,4,2930.693543,0,0,1,1,1,33663,1,1,73,29,71,0,1,1,5,2,3,350.4,0,1,3136.7538793333,0.00216855,6949.6
66,3,8672.194272,0,0,1,1,0,22547,1,0,112,7,60,0,3,0,2,0,0,537.6,3,1,3141.7538793333,0.0049674,2322.13
67,0,11638.66926,0,1,3,1,0,61486,2,1,97,5,65,0,2,1,5,3,1,465.258644,5,2,3157.7538793333,0.00157759,3162.37
68,3,6846.150323,1,1,0,4,0,0,1,0,95,13,20,0,5,1,5,0,2,456,5,0,3140.7538793333,9.50E+09,5.36E+02
69,1,11727.77648,0,2,1,0,0,29879,1,1,102,17,0,0,2,1,5,2,3,500.254235,0,1,3158.7538793333,0.00341377,616.873
70,3,22643.83478,0,0,3,1,1,93011,0,0,113,17,12,0,2,1,5,3,0,281.451042,3,1,3112.7538793333,0.00121491,1497.77
71,3,2614.474305,0,0,4,1,1,65186,0,1,65,29,27,0,1,1,4,1,3,5.434505,5,0,3125.7538793333,0.000997147,3634.57
72,3,2451.752695,0,0,4,2,1,26840,1,1,64,1,47,2,1,1,3,0,0,307.2,0,1,3124.7538793333,0.0023845,2764.8
73,3,6781.270203,0,0,0,4,1,0,1,2,104,30,3,1,5,1,5,0,0,982.399613,4,1,3132.7538793333,1.04E+10,4.90E+02
74,3,4974.801539,1,0,0,1,1,75644,1,0,65,5,68,3,9,1,5,1,1,467.803638,5,1,3149.7538793333,0.000859288,475.244
75,3,8591.604933,0,0,0,1,1,38984,1,1,73,27,38,0,2,1,5,1,1,350.4,0,2,3125.7538793333,0.00187256,2197.3
76,3,5592.161392,0,0,3,1,0,71811,0,2,71,17,48,0,6,1,3,1,2,29.03416,0,1,3135.7538793333,0.000988706,764.328
77,2,8009.472833,0,0,1,1,1,20961,1,1,67,20,33,0,2,1,3,1,0,321.6,0,1,3121.7538793333,0.00319641,1614.7
78,4,11318.08982,0,1,1,1,1,38923,0,1,99,6,83,2,2,1,5,0,0,115.728852,0,1,3130.7538793333,0.00254348,4347.64
79,1,58166.55351,0,0,0,1,1,61321,0,2,186,0,30,1,2,1,5,1,1,427.63121,1,2,3109.7538793333,0.00303322,2576.18
80,1,8025.229358,0,1,1,4,0,0,0,2,77,20,26,0,2,1,5,2,1,25.807685,5,0,3141.7538793333,7.70E+09,1.76E+03
81,1,5780.182197,1,0,3,1,1,51066,1,2,74,23,0,0,8,1,5,1,2,787.993313,0,1,3110.7538793333,0.00144911,114.251
82,1,4118.539113,0,0,2,1,1,34378,1,1,102,12,54,0,1,1,3,2,1,489.6,3,1,3140.7538793333,0.00296701,6242.4
83,2,2523.07015,0,0,4,1,1,43072,1,1,63,35,15,0,1,1,5,1,2,302.4,0,0,3151.7538793333,0.00146267,2847.6
84,3,6554.216396,0,1,1,0,0,25222,1,2,90,28,69,0,3,1,5,1,0,475.623251,0,2,3140.7538793333,0.00356831,2751.46
85,4,7703.397294,0,0,3,1,1,36765,1,1,66,15,32,1,2,1,4,0,2,320.849072,0,1,3108.7538793333,0.00179519,1390.58
86,1,5926.729379,1,1,1,3,1,23091,1,1,96,28,90,5,5,1,3,0,0,460.8,0,1,3142.7538793333,0.00415746,2173.44
87,1,2683.470677,0,0,0,1,0,48269,2,1,69,3,79,3,1,0,1,2,3,282.151207,0,1,3166.7538793333,0.00142949,5375.85
88,3,2695.182419,0,0,0,1,0,32720,1,0,67,13,12,0,1,1,4,2,1,321.6,0,1,3135.7538793333,0.00204768,1353.4
89,1,6047.02516,1,1,1,1,1,20396,1,1,76,15,60,1,4,1,5,0,1,364.8,0,1,3117.7538793333,0.00372622,1333.8
90,3,13171.01282,0,2,1,2,1,21513,1,1,119,21,81,1,2,1,5,1,1,679.827592,5,2,3140.7538793333,0.00553154,5729.09
91,4,10656.88195,1,1,0,1,0,72540,1,1,88,7,3,0,2,0,2,1,2,631.743039,5,1,3109.7538793333,0.00121312,124.128
92,3,2527.653796,0,0,0,1,0,80744,0,1,63,24,84,0,1,0,2,0,0,11.879037,0,1,3150.7538793333,0.000780244,6792.12
93,3,2672.095756,0,0,0,1,1,52822,1,1,67,23,88,0,1,0,0,0,1,350.529033,5,2,3126.7538793333,0.00126841,7086.47
94,1,5313.294035,0,1,3,4,0,0,1,2,77,8,10,1,9,1,4,0,0,863.3947,0,1,3143.7538793333,7.70E+09,5.81E+01
95,3,20946.19251,0,0,0,1,0,69738,1,1,74,2,26,1,2,1,5,0,1,492.127532,0,0,3112.7538793333,0.00106111,789.936
96,0,8375.353929,0,0,4,2,0,17780,0,1,109,12,18,0,9,1,5,0,1,132.588288,3,1,3121.7538793333,0.00613048,348.601
97,1,4801.661503,0,0,0,2,1,18107,1,1,62,29,11,0,8,1,4,0,0,297.6,0,1,3120.7538793333,0.00342409,272.8
98,0,5745.94334,0,0,0,1,0,57740,2,1,74,30,87,3,9,1,3,2,3,269.905129,0,1,3145.7538793333,0.00128161,932.011
99,3,6066.115969,0,1,1,1,1,32627,1,1,76,11,60,0,7,1,4,0,0,380.036697,5,2,3111.7538793333,0.00232936,716.566
100,1,8002.308333,1,0,1,4,0,0,1,1,107,3,65,0,3,1,5,0,0,513.6,3,1,3156.7538793333,1.07E+10,2.25E+03
101,1,2393.915369,1,0,1,4,1,0,1,2,70,24,10,0,1,1,3,0,1,425.266308,0,1,3136.7538793333,7.00E+09,1.95E+03
102,3,4762.8179,0,0,0,1,1,65795,0,2,62,2,85,1,3,0,2,2,2,49.011099,5,1,3155.7538793333,0.000942321,1781.66
103,1,4330.38602,1,2,1,1,1,60475,1,1,107,9,18,0,1,1,5,1,1,513.6,0,1,3120.7538793333,0.00176933,2375.4
104,1,9402.729769,0,1,3,4,0,0,1,2,130,28,88,0,4,1,5,0,3,936,3,1,3127.7538793333,1.30E+10,3.54E+03
105,3,6966.694527,0,1,0,1,0,41837,0,1,88,29,93,0,9,1,5,0,2,142.062768,0,2,3148.7538793333,0.0021034,1177.1
106,1,7694.064293,0,0,0,1,0,32303,0,1,65,13,34,0,2,1,3,2,1,45.152521,0,1,3163.7538793333,0.0020122,1504.92
107,3,8717.561149,0,0,3,4,1,0,1,1,117,5,89,1,3,1,3,0,0,561.6,3,1,3158.7538793333,1.17E+10,3.48E+03
108,1,5928.748528,0,0,0,1,0,40531,0,1,74,17,32,0,9,1,5,0,0,30.567357,5,1,3140.7538793333,0.00182576,399.493
109,3,2452.977288,0,0,1,1,1,79898,2,1,62,5,86,1,1,0,0,3,0,271.606799,0,1,3122.7538793333,0.000775989,5370.39
110,1,6701.571657,0,1,1,1,1,56398,1,1,85,4,18,0,7,1,5,3,0,408,0,2,3109.7538793333,0.00150715,208.857
111,4,7556.24034,0,1,3,1,1,35257,1,0,98,16,2,1,8,0,1,1,3,470.4,0,2,3124.7538793333,0.00277959,161.7
112,0,8492.6988,0,0,1,1,1,27804,1,1,109,19,54,0,7,1,5,1,1,784.8,3,1,3110.7538793333,0.0039203,1024.6
113,3,7713.494046,0,0,0,1,1,45506,1,2,66,16,32,2,2,1,5,0,0,316.8,0,1,3116.7538793333,0.00145036,1425.6
114,4,24084.5352,0,0,3,1,1,65196,1,1,67,0,54,0,2,1,4,3,1,396.082036,0,1,3134.7538793333,0.00102767,1610.96
115,1,7290.069769,0,0,3,4,1,0,1,1,102,11,70,1,3,0,1,0,0,489.6,3,1,3121.7538793333,1.02E+10,2.59E+03
116,3,4772.943848,1,1,3,3,1,20993,1,0,133,35,90,0,1,1,5,1,0,638.4,3,1,3118.7538793333,0.00633545,15986.6
117,0,6806.491395,0,1,3,1,1,37839,1,1,86,35,77,0,9,1,5,1,1,465.633954,5,1,3146.7538793333,0.00227279,1018.49
118,1,2469.781334,0,0,0,1,0,92711,1,2,62,24,10,0,1,1,4,2,0,368.400146,5,1,3152.7538793333,0.000668745,1739.6
119,1,3103.923041,0,1,1,1,0,74665,2,1,78,10,90,2,1,0,1,1,2,236.902001,0,1,3131.7538793333,0.00104467,7563.1
120,4,2981.875575,0,1,1,4,1,0,1,1,83,26,89,0,1,1,4,2,3,582.679087,5,1,3112.7538793333,8.30E+09,8.96E+03
121,1,8902.737595,0,0,0,1,1,46833,0,1,112,6,3,0,9,1,5,0,2,64.109663,4,1,3162.7538793333,0.00239148,104.877
122,3,5499.447223,0,0,3,1,0,88768,1,1,68,17,77,0,7,1,5,2,1,326.4,5,2,3139.7538793333,0.000766042,866.514
123,1,15023.59858,0,0,3,1,1,28262,1,2,192,9,77,0,3,1,5,2,3,921.6,2,1,3155.7538793333,0.00679357,5196.8
124,2,2509.107875,0,0,0,1,0,33555,0,1,63,17,11,0,1,1,5,0,0,101.89645,0,1,3120.7538793333,0.00187751,1662.1
125,3,31221.7481,0,2,1,1,1,42780,1,0,113,10,27,1,2,1,4,0,2,542.4,0,1,3164.7538793333,0.00264142,1819.3
126,3,3133.503432,0,1,4,1,0,58850,0,2,78,20,26,0,1,1,5,1,1,143.747794,0,1,3129.7538793333,0.0013254,3444.25
127,0,3837.451863,0,1,1,1,1,21880,2,1,97,29,37,0,1,2,7,0,1,424.077159,0,1,3154.7538793333,0.00443327,5977.92
128,3,11790.49617,1,0,1,3,1,25251,1,0,66,13,43,0,2,1,4,1,3,316.8,0,1,3164.7538793333,0.00261376,1689.6
129,4,7838.068321,0,0,4,4,0,0,0,1,69,9,12,0,2,1,3,1,0,2.704934,0,1,3119.7538793333,6.90E+09,7.23E+02
130,0,4305.808345,0,0,3,1,1,24188,1,1,109,14,82,0,1,1,5,0,0,523.2,4,1,3146.7538793333,0.00450637,9940.8
131,2,5973.976904,0,0,0,1,0,41611,0,1,74,14,8,0,8,2,7,0,1,113.801497,0,1,3141.7538793333,0.00177838,189.275
132,3,5670.442396,0,0,0,1,0,28406,2,1,72,16,35,1,4,1,5,0,2,192.87572,0,1,3136.7538793333,0.00253468,869.781
133,0,4731.749346,0,2,1,1,1,69833,1,1,118,32,99,0,1,1,5,0,0,828.662719,0,2,3165.7538793333,0.00168975,14629.3
134,0,8026.379641,0,0,3,4,0,0,1,2,74,15,91,0,2,0,1,0,3,532.8,0,2,3129.7538793333,7.40E+09,3.66E+03
135,0,4022.963529,0,0,3,4,1,0,1,2,117,6,1,0,1,1,5,0,0,975.107098,3,1,3141.7538793333,1.17E+10,-1.56E+02
136,3,9618.310865,0,0,3,1,0,80536,0,1,119,5,83,0,3,2,7,0,1,53.798708,4,1,3156.7538793333,0.0014776,3472.73
137,4,2274.775451,0,0,1,4,0,0,1,2,63,2,5,0,1,1,4,1,0,606.642452,0,2,3152.7538793333,6.30E+09,-1.66E+02
138,3,9552.926922,0,1,1,1,0,97732,2,1,79,0,70,0,2,1,5,3,1,289.9122,0,1,3128.7538793333,0.000808333,2620.04
139,0,10388.55323,0,1,0,1,0,61222,2,2,89,20,55,0,2,2,8,2,1,392.604371,0,2,3156.7538793333,0.00145373,3141.2
140,3,2470.121222,0,0,1,4,1,0,1,2,74,7,20,0,1,1,3,3,3,721.242206,5,0,3158.7538793333,7.40E+09,1.28E+03
141,0,5619.068508,0,2,4,1,1,50335,2,1,140,9,54,0,1,1,4,0,2,456.52385,3,1,3132.7538793333,0.00278136,8363.48
142,1,9047.119209,0,1,3,4,0,0,1,2,127,30,11,0,6,1,4,2,1,1087.995426,4,1,3146.7538793333,1.27E+10,6.87E+02
143,4,6692.143668,0,2,3,1,1,63221,1,1,168,28,49,0,1,0,2,2,0,806.4,3,1,3120.7538793333,0.00265734,12129.6
144,3,3731.504584,1,1,3,4,0,0,1,1,96,31,34,0,1,1,3,0,0,460.8,0,0,3112.7538793333,9.60E+09,5.78E+03
145,2,3660.770258,0,1,0,1,1,64495,2,1,92,34,30,0,1,0,1,3,3,251.992083,0,1,3149.7538793333,0.00142647,5636.01
146,1,7928.829252,0,0,1,4,0,0,1,1,72,7,75,0,2,0,2,0,2,345.6,0,1,3137.7538793333,7.20E+09,2.78E+03
147,0,5011.751577,0,0,0,1,0,28859,1,0,67,24,51,3,4,0,1,0,2,321.6,5,1,3158.7538793333,0.00232163,1175.85
148,0,7988.258292,0,1,3,1,0,77330,0,1,99,0,21,0,3,1,5,1,3,99.257608,0,1,3135.7538793333,0.00128023,659.914
149,3,3885.456401,1,2,1,4,1,0,1,1,105,3,92,0,1,0,1,0,1,504,0,0,3108.7538793333,1.05E+10,9.47E+03
150,4,2659.337982,0,0,0,1,1,24495,1,2,70,29,65,0,1,1,4,3,1,336,0,2,3136.7538793333,0.00285773,6244
151,4,8564.768226,1,0,3,1,1,95697,0,1,107,29,29,0,9,1,5,1,0,178.006524,4,1,3119.7538793333,0.00111811,669.777
152,0,4885.162511,0,1,3,0,1,26372,1,1,126,11,7,0,1,1,5,3,0,604.8,3,1,3124.7538793333,0.00477779,1663.2
153,0,9753.307106,0,1,0,2,0,17514,0,1,127,2,5,0,3,1,3,0,1,8.312729,3,1,3112.7538793333,0.00725134,293.562
154,1,2946.153697,0,0,0,1,0,89270,2,2,74,17,90,0,1,1,5,1,1,316.599228,0,1,3135.7538793333,0.000828946,7601.4
155,1,2581.110945,0,0,3,1,1,29757,1,1,65,13,55,0,1,1,4,1,3,312,0,2,3130.7538793333,0.00218436,4108
156,3,3517.385764,0,1,1,1,1,51814,0,2,92,28,89,0,1,1,4,2,0,56.300724,0,1,3144.7538793333,0.00177558,10707.7
157,3,9743.350113,0,1,0,1,0,24028,1,1,82,14,27,0,2,1,4,1,0,393.6,0,2,3146.7538793333,0.00341269,1484.2
158,0,3873.647046,1,0,1,3,1,28142,1,1,105,18,50,0,1,1,5,1,0,701.708239,4,1,3147.7538793333,0.00373108,6438.29
159,0,7649.28199,0,0,0,1,0,52705,0,1,64,14,8,1,2,1,4,0,3,128.705563,5,0,3161.7538793333,0.00121431,639.647
160,1,2287.59692,0,0,3,4,1,0,1,1,63,1,5,0,1,0,2,1,0,679.368378,5,1,3114.7538793333,6.30E+09,-3.01E+02
161,4,4475.424592,0,0,1,1,0,84903,2,1,111,7,63,0,1,1,3,0,0,497.126827,3,1,3109.7538793333,0.00130737,7272.87
162,1,8714.922135,1,0,1,4,0,0,1,0,118,14,64,0,4,1,5,0,0,566.4,3,1,3115.7538793333,1.18E+10,2.16E+03
163,4,2248.449633,1,0,0,3,0,24910,1,2,63,7,63,1,1,1,3,0,1,347.857619,0,1,3138.7538793333,0.0025291,4062.14
164,1,7416.197322,0,1,0,4,1,0,1,2,77,15,12,2,2,1,5,0,0,554.4,0,1,3114.7538793333,7.70E+09,7.62E+02
165,3,7771.158973,0,0,4,2,1,21876,1,1,68,12,28,0,2,1,5,0,0,465.41477,0,2,3115.7538793333,0.00310843,1127.29
166,1,6968.3419,0,0,0,4,0,0,1,2,69,33,61,1,2,1,5,0,0,496.8,0,2,3157.7538793333,6.90E+09,2.99E+03
167,1,4250.282624,1,0,3,4,0,0,1,2,61,17,1,1,7,1,3,0,0,292.8,0,2,3149.7538793333,6.10E+09,1.15E+02
168,3,19776.56654,0,1,3,1,0,70699,2,0,82,1,57,0,2,1,4,2,0,256.813837,0,1,3151.7538793333,0.00115985,2249.59
169,1,21343.46599,0,0,3,4,0,0,1,1,74,11,85,1,2,1,4,0,0,355.2,0,1,3161.7538793333,7.40E+09,3.37E+03
170,1,2413.139714,0,0,1,2,1,27501,1,1,63,20,0,0,1,1,3,3,1,542.319401,0,1,3140.7538793333,0.00229083,717.681
171,3,15363.84716,0,2,2,0,0,15897,2,0,101,30,99,0,2,1,5,1,0,303.148399,0,1,3152.7538793333,0.0063534,6362.93
172,2,8456.961887,0,0,1,1,0,25141,0,0,73,12,4,1,2,1,5,2,0,25.438063,0,1,3158.7538793333,0.00290362,571.281
173,2,2189.642522,0,0,1,4,0,0,1,1,61,5,46,3,1,1,4,2,0,292.8,0,2,3139.7538793333,6.10E+09,2.82E+03
174,1,5780.182197,1,0,3,1,1,51066,1,2,74,23,0,0,8,1,4,1,2,787.993313,0,1,3110.7538793333,0.00144911,114.251
175,1,4639.981638,0,0,0,1,0,28358,0,1,117,24,37,0,1,1,4,1,2,84.024413,4,1,3163.7538793333,0.00412582,7052.98
176,4,4465.335703,0,0,1,1,0,61846,0,1,112,1,48,0,1,1,4,1,0,215.8182,3,1,3135.7538793333,0.00181095,5272.18
177,0,5968.118877,0,0,0,1,0,90972,2,1,74,3,47,0,8,1,5,1,2,232.926145,5,1,3140.7538793333,0.000813437,433.384
178,4,5097.763337,0,0,1,4,0,0,1,2,74,3,95,0,7,1,5,2,3,532.8,5,1,3122.7538793333,7.40E+09,9.60E+02
179,1,4076.634665,0,0,0,1,0,29549,1,0,104,17,51,0,1,1,4,1,2,710.433775,4,2,3144.7538793333,0.00351958,6361.57
180,1,12252.60179,0,2,0,4,0,0,1,1,115,12,17,1,2,1,4,0,0,552,0,1,3118.7538793333,1.15E+10,1.39E+03
181,2,16936.27147,0,1,0,1,0,39411,1,1,217,4,29,2,4,1,5,2,1,1122.658899,1,1,3143.7538793333,0.00550608,1509.59
182,3,4892.435461,0,0,3,1,1,21709,1,1,62,28,17,0,3,1,4,1,1,408.374746,0,0,3118.7538793333,0.00285596,793.875
183,2,9942.304791,0,1,0,1,1,67890,1,2,85,23,57,0,2,1,4,3,0,408,0,2,3148.7538793333,0.00125203,3196
184,1,3735.838129,0,0,0,4,1,0,1,2,110,3,16,0,1,1,5,0,0,792,3,1,3163.7538793333,1.10E+10,1.30E+03
185,1,13117.52215,0,0,3,1,0,84311,1,2,111,11,98,4,2,1,5,2,2,532.8,3,2,3129.7538793333,0.00131655,5783.1
186,1,4574.524094,0,0,1,1,0,99316,1,2,114,26,53,0,1,0,2,1,1,754.358929,3,1,3137.7538793333,0.00114785,8251.64
187,0,5470.060561,1,1,0,1,0,54507,1,1,138,20,11,0,1,1,3,1,0,702.990032,3,1,3119.7538793333,0.00253178,3575.01
